site_id|site_name|road_name|corridor|latitude|longitude|region|is_active_in_data|notes|is_core
244|Burwood Hwy (WB)||Other Metro Road|-37.8514380|145.1260520|Greater Melbourne|1||1
245|Nepean Hwy NR Arnot St (NB)||Other Metro Road|-37.9120290|145.0138160|Greater Melbourne|1||1
246|Nepean Hwy NR Arnot St (SB)||Other Metro Road|-37.9120020|145.0143630|Greater Melbourne|1||1
247|Sydney Rd and Jukes Rd (NB)||Other Metro Road|-37.7007430|144.9598170|Greater Melbourne|1||1
248|Sydney Rd and Jukes Rd (SB)||Other Metro Road|-37.7013480|144.9602490|Greater Melbourne|1||1
249|Princes Hwy and James St (EB)||Other Metro Road|-37.9792260|145.2080860|Greater Melbourne|1||1
25|M1 Outbound - Under Power Rd Overpass||M1 Monash/West Gate Fwy|-37.9778050|145.2409110|Greater Melbourne|1||1
250|Princes Hwy and James St (WB)||Other Metro Road|-37.9787050|145.2071550|Greater Melbourne|1||1
251|Princes Hwy and Federation Trail (EB)||Other Metro Road|-37.8191580|144.8399760|Greater Melbourne|1||1
252|Princes Hwy and Federation Trail (WB)||Other Metro Road|-37.8193960|144.8401290|Greater Melbourne|1||1
253|Plenty Rd NR Larundel (NB)||Other Metro Road|-37.7104430|145.0488350|Greater Melbourne|1||1
254|Plenty Rd NR Larundel (SB)||Other Metro Road|-37.7106500|145.0491520|Greater Melbourne|1||1
255|Fitzgerald Rd and Federation trail (NB)||Other Metro Road|-37.8356210|144.7837060|Greater Melbourne|1||1
256|Fitzgerald Rd and Federation trail (SB)||Other Metro Road|-37.8358820|144.7839320|Greater Melbourne|1||1
257|Princes Hwy West (EB)||Other Metro Road|-37.8856670|144.6979720|Greater Melbourne|1||1
258|Princes Hwy West (WB)||Other Metro Road|-37.8854940|144.6989020|Greater Melbourne|1||1
259|Sneydes Rd (EB)||Other Metro Road|-37.8975030|144.7123460|Greater Melbourne|1||1
26|M1 Inbound - Before Heatherton Rd Exit||M1 Monash/West Gate Fwy|-37.9817850|145.2445130|Greater Melbourne|1||1
260|Sneydes Rd (WB)||Other Metro Road|-37.8975450|144.7124450|Greater Melbourne|1||1
261|Grieve Pde (NB)||Other Metro Road|-37.8441980|144.8248310|Greater Melbourne|1||1
262|Grieve Pde (SB)||Other Metro Road|-37.8448960|144.8250180|Greater Melbourne|1||1
263|Dohertys Rd (EB)||Other Metro Road|-37.8311430|144.8229010|Greater Melbourne|1||1
264|Dohertys Rd (WB)||Other Metro Road|-37.8312110|144.8223920|Greater Melbourne|1||1
265|PFW 900m west of Duncans Road (IB)||Princes Fwy West|-37.9151950|144.6708600|Greater Melbourne|1||1
266|PFW 240m East of Duncans Road (IB)||Princes Fwy West|-37.9129940|144.6773270|Greater Melbourne|1||1
267|PFW 640m East of Duncans Road (IB)||Princes Fwy West|-37.9094280|144.6879080|Greater Melbourne|1||1
268|PFW 1230m East of Duncans Road (IB)||Princes Fwy West|-37.9073510|144.6936820|Greater Melbourne|1||0
