site,site_description,latitude,longitude
168,M1 Inbound - CH 18990,-37.8926659974,145.127223486200
169,M1 Outbound - CH 18980,-37.8922334166,145.127286739000
170,M1 Inbound - CH 19450,-37.8932810401,145.132510580800
171,M1 Outbound - CH 19450,-37.8928255057,145.133000426100
172,M1 Inbound - CH 19890,-37.8937691823,145.137406541200
173,M1 Outbound - CH 19890,-37.8933453514,145.137460939700
174,M1 Inbound - CH 20300,-37.8943428398,145.142002338700
175,M1 Outbound - CH 20300,-37.8939247085,145.142248515200
176,M1 Inbound - CH 20770,-37.8961929560,145.146571469100
177,M1 Outbound - CH 20770,-37.8958502412,145.146869793700
178,M1 Inbound - CH 21190,-37.8990859240,145.149516544900
179,M1 Outbound - CH 21190,-37.8988315165,145.150039326500
180,M1 Inbound - CH 21780,-37.9034908489,145.153310364200
181,M1 Outbound - CH 21780,-37.9033232527,145.153760807700
182,M1 Inbound - CH 22300,-37.9068330326,145.157536725400
183,M1 Outbound - CH 22300,-37.9066044837,145.157941959800
184,M1 Inbound - CH 22800,-37.9098490000,145.161732000000
185,M1 Outbound - CH 22800,-37.9096429563,145.162200965100
186,M1 Inbound - CH 23280,-37.9127981769,145.165524893900
187,M1 Outbound - CH 23270,-37.9126180290,145.165993105800
188,M1 Inbound - CH 23810,-37.9166217009,145.169470431500
189,M1 Outbound - CH 23810,-37.9163753009,145.169839896400
190,M1 Inbound - CH 24210,-37.9193810548,145.172278580400
191,M1 Outbound - CH 24340,-37.9199560000,145.173657000000
192,M1 Outbound - CH 24900,-37.9236050000,145.178147000000
193,M1 Inbound - CH 24720,-37.9228170000,145.176385000000
194,M1 Inbound - CH 25280,-37.9263840057,145.180858327200
195,M1 Inbound - CH 25820,-37.9298776668,145.185245750600
196,M1 Outbound - CH 25820,-37.9295730000,145.185617000000
197,M1 Inbound - CH 26380,-37.9333573301,145.189603585900
198,M1 Outbound - CH 26380,-37.9330756562,145.189891671900
199,M1 Inbound - CH 26900,-37.9366070000,145.194002000000
200,M1 Outbound - CH 26830,-37.9361304408,145.193341328000
201,M1 Inbound - CH 27230,-37.9387110000,145.196628000000
202,M1 Outbound - CH 27230,-37.9386520000,145.196587000000
203,M1 Outbound - CH 27560,-37.9406703730,145.199183095400
204,M1 Inbound - CH 27700,-37.9418230000,145.200188000000
205,M1 PFW Inbound - Btwn Old Geelong Rd Offramp and Kororoit Creek Rd Offramp (NEB),-37.8480840000,144.780291000000
206,M1 PFW Outbound - Btwn Kororoit Creek Rd and Newland St (SWB),-37.8482768600,144.780900200000
207,M1 PFW Inbound - Btwn High St and Old Geelong Rd (NEB),-37.8536870000,144.778804000000
208,M1 PFW Outbound - Btwn Kororoit Creek Rd and Newland St (SWB),-37.8537220000,144.779306000000
209,M1 PFW Inbound - Btwn High St and Old Geelong Rd (NEB),-37.8602520000,144.777246000000
210,M1 PFW Outbound - Btwn Kororoit Creek Rd and Newland St (SWB),-37.8602771500,144.777698700000
211,M1 PFW Inbound - Btwn High St and Old Geelong Rd (NEB),-37.8641876900,144.776082800000
212,M1 PFW Outbound - Btwn Kororoit Creek Rd and Newland St (SWB),-37.8643644600,144.776545000000
213,M1 Inbound - CH 48683,-38.0634350000,145.371873000000
214,M1 Outbound - CH 48630,-38.0632190000,145.372090000000
215,M1 Inbound - CH 49145,-38.0662870000,145.376256000000
216,M1 Outbound - CH 49145,-38.0660410000,145.376544000000
217,M1 Outbound - CH 49768,-38.0690440000,145.382407000000
218,M1 Outbound - CH 51095,-38.0733700000,145.396391000000
219,M1 Outbound - CH 51794,-38.0745570000,145.404158000000
